label,rule_tone,hybrid_error,tone_pred,sentiment_pred,ontology_alignment,greenwashing_index,ontology_path
Indonet-Annual-Report-2022_pdf/batch_4/rec_1,Unknown,,Unknown,Neutral,-0.0649147480726242,0.0,Environmental → Energy Efficiency; General → Misc
Indonet-Annual-Report-2022_pdf/batch_4/rec_2,Outcome,,Outcome,Positive,-0.026296112686395645,0.0,Social → Partnership; General → Misc
Indonet-Annual-Report-2022_pdf/batch_4/rec_3,Unknown,,Unknown,Neutral,-0.02951742336153984,0.0,General → Misc
Indonet-Annual-Report-2022_pdf/batch_4/rec_4,Unknown,,Unknown,Neutral,0.011986786499619484,0.0,General → Misc
Indonet-Annual-Report-2022_pdf/batch_4/rec_5,Unknown,,Unknown,Neutral,-0.023551559075713158,0.0,General → Misc
Indonet-Annual-Report-2022_pdf/batch_4/rec_6,Unknown,,Unknown,Neutral,-0.019541751593351364,0.0,General → Misc
Indonet-Annual-Report-2022_pdf/batch_4/rec_7,Unknown,,Unknown,Neutral,0.014579903334379196,0.0,General → Misc
Indonet-Annual-Report-2022_pdf/batch_4/rec_8,Unknown,,Unknown,Neutral,0.0010607857257127762,0.0,General → Misc
Indonet-Annual-Report-2022_pdf/batch_4/rec_9,Unknown,,Unknown,Neutral,-0.011907891370356083,0.0,General → Misc
Indonet-Annual-Report-2022_pdf/batch_4/rec_10,Unknown,,Unknown,Neutral,-0.030288392677903175,0.0,General → Misc
Indonet-Annual-Report-2022_pdf/batch_4/rec_11,Unknown,,Unknown,Neutral,0.02854587323963642,0.0,General → Misc
Indonet-Annual-Report-2022_pdf/batch_4/rec_12,Unknown,,Unknown,Neutral,0.015180611982941628,0.0,General → Misc
Indonet-Annual-Report-2022_pdf/batch_4/rec_13,Unknown,,Unknown,Neutral,0.03752885013818741,0.0,General → Misc
Indonet-Annual-Report-2022_pdf/batch_4/rec_14,Unknown,,Unknown,Neutral,0.02396542578935623,0.0,General → Misc
Indonet-Annual-Report-2022_pdf/batch_4/rec_15,Unknown,,Unknown,Neutral,0.00046044494956731796,0.0,General → Misc
Indonet-Annual-Report-2022_pdf/batch_4/rec_16,Unknown,,Unknown,Neutral,-0.053641706705093384,0.0,General → Misc
Indonet-Annual-Report-2022_pdf/batch_4/rec_16,Unknown,,Unknown,Neutral,0.0009900140576064587,0.0,General → Misc
Indonet-Annual-Report-2022_pdf/batch_4/rec_17,Unknown,,Unknown,Neutral,-0.004277884028851986,0.0,General → Misc
Indonet-Annual-Report-2022_pdf/batch_4/rec_18,Unknown,,Unknown,Neutral,0.008905043825507164,0.0,General → Misc
Indonet-Annual-Report-2022_pdf/batch_4/rec_19,Unknown,,Unknown,Neutral,0.02663029544055462,0.0,General → Misc
Indonet-Annual-Report-2022_pdf/batch_4/rec_19,Unknown,,Unknown,Neutral,0.04876316338777542,0.0,General → Misc
Indonet-Annual-Report-2022_pdf/batch_4/rec_20,Unknown,,Unknown,Neutral,0.05290812999010086,0.0,General → Misc
Indonet-Annual-Report-2022_pdf/batch_4/rec_21,Unknown,,Unknown,Neutral,-0.06822803616523743,0.0,General → Misc
Indonet-Annual-Report-2022_pdf/batch_4/rec_1,Unknown,,Unknown,Neutral,-0.033067066222429276,0.0,Environmental → Energy Efficiency; General → Misc
Indonet-Annual-Report-2022_pdf/batch_4/rec_2,Outcome,,Outcome,Positive,-0.035263270139694214,0.0,Social → Partnership; General → Misc
Indonet-Annual-Report-2022_pdf/batch_4/rec_3,Unknown,,Unknown,Neutral,0.09813901782035828,0.0,General → Misc
Indonet-Annual-Report-2022_pdf/batch_4/rec_4,Unknown,,Unknown,Neutral,0.07986672222614288,0.0,General → Misc
Indonet-Annual-Report-2022_pdf/batch_4/rec_5,Unknown,,Unknown,Neutral,0.00785379484295845,0.0,General → Misc
Indonet-Annual-Report-2022_pdf/batch_4/rec_6,Unknown,,Unknown,Neutral,0.027019495144486427,0.0,General → Misc
Indonet-Annual-Report-2022_pdf/batch_4/rec_6,Unknown,,Unknown,Neutral,0.03623379394412041,0.0,Governance → Compliance
Indonet-Annual-Report-2022_pdf/batch_4/rec_7,Outcome,,Outcome,Neutral,0.0021190475672483444,0.0,General → Misc
Indonet-Annual-Report-2022_pdf/batch_4/rec_7,Outcome,,Outcome,Neutral,0.020093128085136414,0.0,General → Misc
Indonet-Annual-Report-2022_pdf/batch_4/rec_8,Unknown,,Unknown,Neutral,0.019489960744976997,0.0,General → Misc
Indonet-Annual-Report-2022_pdf/batch_4/rec_9,Unknown,,Unknown,Neutral,0.025134626775979996,0.0,General → Misc
Indonet-Annual-Report-2022_pdf/batch_4/rec_10,Unknown,,Unknown,Neutral,-0.009668380953371525,0.0,General → Misc
Indonet-Annual-Report-2022_pdf/batch_4/rec_11,Unknown,,Unknown,Neutral,0.020683305338025093,0.0,General → Misc
Jasamarga_SR2023_pdf/batch_1/rec_1,Action,,Action,Neutral,-0.03591425344347954,0.0,Governance → Compliance; General → Misc
Jasamarga_SR2023_pdf/batch_1/rec_2,Commitment,,Unknown,Neutral,-0.057231441140174866,0.0,General → Misc
Jasamarga_SR2023_pdf/batch_1/rec_2,Commitment,,Unknown,Neutral,-0.09171850234270096,0.0,General → Misc
Jasamarga_SR2023_pdf/batch_1/rec_2,Commitment,,Unknown,Neutral,-0.07024312019348145,0.0,General → Misc
Jasamarga_SR2023_pdf/batch_1/rec_3,Unknown,,Unknown,Positive,-0.0035723745822906494,0.0,General → Misc
Jasamarga_SR2023_pdf/batch_1/rec_4,Unknown,,Unknown,Neutral,-0.02561589702963829,0.0,General → Misc
Jasamarga_SR2023_pdf/batch_1/rec_5,Unknown,,Unknown,Neutral,0.018062539398670197,0.0,General → Misc
Jasamarga_SR2023_pdf/batch_1/rec_5,Unknown,,Unknown,Neutral,-0.034310780465602875,0.0,General → Misc
Jasamarga_SR2023_pdf/batch_1/rec_5,Unknown,,Unknown,Neutral,-0.03082343563437462,0.0,General → Misc
Jasamarga_SR2023_pdf/batch_1/rec_6,Unknown,,Unknown,Neutral,-0.0011661006137728691,0.0,General → Misc
Jasamarga_SR2023_pdf/batch_1/rec_6,Unknown,,Unknown,Neutral,-0.026538508012890816,0.0,General → Misc
Jasamarga_SR2023_pdf/batch_1/rec_6,Unknown,,Unknown,Neutral,-0.02182045951485634,0.0,General → Misc
Jasamarga_SR2023_pdf/batch_1/rec_7,Unknown,,Unknown,Neutral,-0.02381802722811699,0.0,Social → Education; General → Misc
Jasamarga_SR2023_pdf/batch_1/rec_8,Unknown,,Unknown,Neutral,-0.008065301924943924,0.0,General → Misc
Jasamarga_SR2023_pdf/batch_1/rec_9,Unknown,,Unknown,Neutral,-0.050093408674001694,0.0,General → Misc
Jasamarga_SR2023_pdf/batch_1/rec_9,Unknown,,Unknown,Neutral,-0.041977979242801666,0.0,General → Misc
Jasamarga_SR2023_pdf/batch_1/rec_10,Commitment,,Commitment,Neutral,0.09231409430503845,0.0,General → Misc
Jasamarga_SR2023_pdf/batch_1/rec_10,Commitment,,Commitment,Neutral,0.05494127795100212,0.0,General → Misc
